url,course_name,rating
https://www.coursera.org/learn/data-visualization-science-communication,3D Data Visualization for Science Communication,
https://www.coursera.org/learn/5g-mobile-networks-course-2,5G Network Architecture and Protocols,
https://www.coursera.org/learn/6min-micro-teaching,6分間模擬授業で学ぶ授業づくり（Learn How to Teach by 6 Min. Micro Teaching）,
https://www.coursera.org/learn/beginners-guide-to-investing-isb,A Beginner's Guide to Investing,
https://www.coursera.org/learn/packt-a-beginners-guide-to-linux-z2e2k,A Beginners Guide to Linux,
https://www.coursera.org/learn/airs-consultative-approach-working-with-recruiters,A Consultative Approach to Working with Recruiters,
https://www.coursera.org/learn/packt-a-detailed-guide-to-the-owasp-top-10-vqazw,A Detailed Guide to the OWASP Top 10,
https://www.coursera.org/learn/diversifying-transforming-football-leadership,A Guide to Diversifying and Transforming Football Leadership,
https://www.coursera.org/learn/a-new-communication-framework-for-healthcare,A New Communication Framework for Healthcare,
https://www.coursera.org/learn/a-theoretical-origin-of-ethics-in-business-and-tech-industry,A Theoretical Origin of Ethics in Business and Tech Industry,
https://www.coursera.org/projects/googlecloud-a-tour-of-cloud-networking-1imoy,A Tour of Cloud Networking,
https://www.coursera.org/learn/a-technical-leaders-qualities-and-effectiveness,A Technical Leader's Qualities and Effectiveness,
https://www.coursera.org/projects/googlecloud-a-tour-of-firebase-wow1v,A Tour of Firebase,
https://www.coursera.org/learn/a-lideranca-do-gerente-de-projeto,A liderança do gerente de projeto,
https://www.coursera.org/projects/googlecloud-a-tour-of-google-cloud-sustainability-lbg3j,A Tour of Google Cloud Sustainability,
https://www.coursera.org/learn/a-turma-toda-com-simulacoes-phet-para-a-educao-stem,A Turma Toda com Simulações PhET para Educação STEM,
https://www.coursera.org/learn/advanceing-fieldsafety-changing-the-culture-of-fieldwork,ADVANCEing FieldSafety: Changing the Culture of Fieldwork,
https://www.coursera.org/learn/ai-and-deep-learning-concepts-and-applications,AI & Deep Learning Concepts and Applications,
https://www.coursera.org/learn/a-starters-guide-to-open-science,A starter’s guide to Open Science,
https://www.coursera.org/projects/ai-agentic-design-patterns-with-autogen,AI Agentic Design Patterns with AutoGen,
https://www.coursera.org/projects/rudi-hinds-ai-content-with-make-com-automate-instagram-reel-scripts,AI Content with Make.com:  Automate Instagram Reel Scripts,
https://www.coursera.org/learn/ai-ethics-business,AI Ethics in Business,
https://www.coursera.org/learn/ai-ethics-responsible-use-and-creativity,"AI Ethics, Responsible Use, and Creativity",
https://www.coursera.org/learn/ai-principles-with-edge-computing,AI Principles with Edge Computing,
https://www.coursera.org/projects/rudi-hinds-ai-sales-calling-with-vapi-automated-saas-demo-scheduler,AI Sales Calling with Vapi: Automated SAAS Demo Scheduler,
https://www.coursera.org/learn/ai-security,AI Security,
https://www.coursera.org/learn/ai-project-management-aipm,AI Project Management ,
https://www.coursera.org/learn/ai-for-autonomous-vehicles-and-robotics,AI for Autonomous Vehicles and Robotics,
https://www.coursera.org/learn/ai-for-grant-writing,AI for Grant Writing,
https://www.coursera.org/learn/ai-and-machine-learning-algorithms-and-techniques,AI and Machine Learning Algorithms and Techniques,
https://www.coursera.org/learn/ai-for-education-advanced,AI for Education (Advanced),
https://www.coursera.org/learn/ai-for-decision-makers,AI for Decision Makers,
https://www.coursera.org/learn/ai-for-education-basic,AI for Education (Basic),
https://www.coursera.org/learn/ai-for-energy-biomedical-applications,AI for Energy and Biomedical Applications,
https://www.coursera.org/learn/ai-for-education-intermediate,AI for Education (Intermediate),
https://www.coursera.org/learn/ai-for-design-and-optimization,AI for Design and Optimization,
https://www.coursera.org/learn/ai-for-software-development,AI for Efficient Programming: Harnessing the Power of LLMs,
https://www.coursera.org/learn/ai-for-lawyers-communication-and-creativity,AI for Lawyers: Communication and Creativity,
https://www.coursera.org/learn/ai-for-lawyers-learning-and-leading,AI for Lawyers: Learning and Leading,
https://www.coursera.org/learn/ai-for-lawyers-obstacles-and-opportunities,AI for Lawyers: Obstacles and Opportunities,
https://www.coursera.org/learn/ai-for-knowledge-workers,AI for Knowledge Workers,
https://www.coursera.org/learn/ai-for-marketing-swot-analysis,AI for Marketing: SWOT Analysis,
https://www.coursera.org/learn/ai-for-lawyers-time-and-tasks,AI for Lawyers: Time and Tasks,
https://www.coursera.org/learn/ai-for-professional-communication,AI for Professional Communication,
https://www.coursera.org/learn/ai-in-workforce-management,AI in Workforce Management,
https://www.coursera.org/learn/ai-automation-and-emerging-technology,"AI, Automation, and Emerging Technology",
https://www.coursera.org/learn/ai-privacy-and-convenience-ko,AI 프라이버시 및 편의성,
https://www.coursera.org/learn/ai-driven-attribution-testing,AI-Driven Attribution Testing,
https://www.coursera.org/learn/aiexistingimpact,AI's Existing Impact,
https://www.coursera.org/learn/ai-enhanced-presentations-captivating-audiences-with-tome,AI-Enhanced Presentations Captivating Audiences with TOME,
https://www.coursera.org/learn/cpsc-8740-ai-receptive-software-development,AI-Receptive Software Development,
https://www.coursera.org/projects/rudi-hinds-ai-powered-development-with-codepal-write-test-to-do-app,AI-Powered Development with Codepal: Write & Test To-Do App,
https://www.coursera.org/learn/introduction-tensorflow-ja,AI、機械学習、ディープラーニングのための TensorFlow 入門,
https://www.coursera.org/learn/ajax-for-web-developers,AJAX for Web Developers,
https://www.coursera.org/learn/api-basics-4-build-a-personal-dashboard-promise-rejection,API Basics 4: Build a Personal Dashboard (Promise Rejection),
https://www.coursera.org/learn/packt-ajax-authentication-and-cross-origin-requests-vdxtt,AJAX Authentication and Cross-Origin Requests,
https://www.coursera.org/learn/api-basics-2-build-a-blog-rest-urls--http-requests,"API Basics 2: Build a Blog (REST, URLs & HTTP Requests)",
https://www.coursera.org/learn/apis-es,API,
https://www.coursera.org/learn/api-basics-1-build-a-bot-fetch-json-async-javascript,"API Basics 1: Build a Bot (Fetch, JSON & Async JavaScript)",
https://www.coursera.org/learn/api-basics-3-build-a-game-async-js-callbacks-promises,"API Basics 3: Build a Game (Async JS, Callbacks & Promises)",
https://www.coursera.org/learn/aix-basics,AIX Operating System Fundamentals,
https://www.coursera.org/learn/codio-api-development,API Development,
https://www.coursera.org/projects/googlecloud-api-gateway-qwik-start-cvmbi,API Gateway: Qwik Start,
https://www.coursera.org/projects/googlecloud-apis-explorer-app-engine-2gpn6,APIs Explorer: App Engine,
https://www.coursera.org/learn/api-validation-with-postman,API Validation with Postman,
https://www.coursera.org/projects/googlecloud-apis-explorer-cloud-sql-pv6ts,APIs Explorer: Cloud SQL,
https://www.coursera.org/projects/googlecloud-apis-explorer-cloud-storage-vyl1r,APIs Explorer: Cloud Storage,
https://www.coursera.org/learn/api-integration---end-to-end-web-development,API Integration - End to End Web Development,
https://www.coursera.org/projects/googlecloud-apis-explorer-qwik-start-3gtd4,APIs Explorer: Qwik Start,
https://www.coursera.org/projects/googlecloud-apis-explorer-compute-engine-5kgxc,APIs Explorer: Compute Engine,
https://www.coursera.org/learn/apis-in-swift-arabic,APIs في Swift: استخدام Restful APIs في اداره البيانات ,
https://www.coursera.org/projects/googlecloud-apis-explorer-create-and-update-a-cluster-vwbz8,APIs Explorer: Create and Update a Cluster,
